GEOID,geo_area,pop2021,visitor2021,ratio,visitorTOpop,region
46081,Lawrence,26165,814069,0.03,3111,Black Hills and Badlands
46087,McCook,5695,35288,0.16,620,Southeast
46075,Jones,879,31041,0.03,3531,Black Hills and Badlands
46011,Brookings,34639,460787,0.08,1330,Glacial Lakes & Prairies
46093,Meade,30173,307037,0.1,1018,Black Hills and Badlands
46041,Dewey,5246,45434,0.12,866,Missouri River
46047,Fall River,7202,116842,0.06,1622,Black Hills and Badlands
46045,Edmunds,4033,51293,0.08,1272,Glacial Lakes & Prairies
46107,Potter,2475,53844,0.05,2175,Missouri River
46059,Hand,3095,60694,0.05,1961,Glacial Lakes & Prairies
46055,Haakon,1835,56567,0.03,3083,Black Hills and Badlands
46103,Pennington,111806,2021219,0.06,1808,Black Hills and Badlands
46069,Hyde,1236,25518,0.05,2065,Missouri River
46127,Union,16872,202340,0.08,1199,Southeast
46091,Marshall,4304,62956,0.07,1463,Glacial Lakes & Prairies
46137,Ziebach,2380,10051,0.24,422,Missouri River
46119,Sully,1476,21618,0.07,1465,Missouri River
46102,Oglala Lakota,13586,63543,0.21,468,Black Hills and Badlands
46111,Sanborn,2378,22570,0.11,949,Glacial Lakes & Prairies
46031,Corson,3872,25043,0.15,647,Missouri River
46097,Miner,2314,14400,0.16,622,Southeast
46101,Moody,6315,39011,0.16,618,Glacial Lakes & Prairies
46129,Walworth,5248,118663,0.04,2261,Missouri River
46065,Hughes,17694,359753,0.05,2033,Missouri River
46115,Spink,6269,84102,0.07,1342,Glacial Lakes & Prairies
46013,Brown,38101,640972,0.06,1682,Glacial Lakes & Prairies
46017,Buffalo,1923,13960,0.14,726,Missouri River
46019,Butte,10456,114877,0.09,1099,Black Hills and Badlands
46135,Yankton,23297,257243,0.09,1104,Southeast
46009,Bon Homme,7014,68560,0.1,977,Southeast
46035,Davison,19878,368962,0.05,1856,Southeast
46089,McPherson,2420,18336,0.13,758,Glacial Lakes & Prairies
46085,Lyman,3764,168716,0.02,4482,Missouri River
46053,Gregory,3977,102867,0.04,2587,Missouri River
46039,Deuel,4272,59902,0.07,1402,Glacial Lakes & Prairies
46025,Clark,3855,58114,0.07,1508,Glacial Lakes & Prairies
46023,Charles Mix,9163,248805,0.04,2715,Missouri River
46005,Beadle,19121,290617,0.07,1520,Glacial Lakes & Prairies
46117,Stanley,3032,124902,0.02,4119,Missouri River
46037,Day,5414,149077,0.04,2754,Glacial Lakes & Prairies
46051,Grant,7519,121053,0.06,1610,Glacial Lakes & Prairies
46073,Jerauld,1636,37207,0.04,2274,Glacial Lakes & Prairies
46077,Kingsbury,5192,87827,0.06,1692,Glacial Lakes & Prairies
46015,Brule,5242,132710,0.04,2532,Missouri River
46027,Clay,15150,188947,0.08,1247,Southeast
46057,Hamlin,6255,87977,0.07,1406,Glacial Lakes & Prairies
46021,Campbell,1380,30874,0.04,2237,Missouri River
46109,Roberts,10163,157185,0.06,1547,Glacial Lakes & Prairies
46003,Aurora,2748,46710,0.06,1700,Missouri River
46105,Perkins,2819,55496,0.05,1969,Black Hills and Badlands
46071,Jackson,2878,73669,0.04,2560,Black Hills and Badlands
46121,Todd,9286,32892,0.28,354,Black Hills and Badlands
46125,Turner,8708,47259,0.18,543,Southeast
46029,Codington,28427,543262,0.05,1911,Glacial Lakes & Prairies
46007,Bennett,3406,42401,0.08,1245,Black Hills and Badlands
46095,Mellette,1908,17889,0.11,938,Black Hills and Badlands
46123,Tripp,5569,97249,0.06,1746,Missouri River
46063,Harding,1327,27573,0.05,2078,Black Hills and Badlands
46067,Hutchinson,7411,59693,0.12,805,Southeast
46043,Douglas,2821,35032,0.08,1242,Southeast
46079,Lake,10851,104632,0.1,964,Southeast
46049,Faulk,2137,24303,0.09,1137,Glacial Lakes & Prairies
46061,Hanson,3505,19517,0.18,557,Southeast
46099,Minnehaha,199685,2954872,0.07,1480,Southeast
46033,Custer,8609,196237,0.04,2279,Black Hills and Badlands
46083,Lincoln,67870,487939,0.14,719,Southeast
